model,r2,rmse,mae,rmse_dollars,cv_r2_mean,cv_r2_std,run_id
linear_regression,0.5800232570053558,1.3698980588824778,1.0050529055360593,4246606398712.421,0.6029758203291433,0.05525155032119972,790e0a88cc4c4bd49752866e9eb04743
random_forest,0.9843347016340571,0.26457266089743997,0.16641595625375102,1620812152.5781274,0.9759120775091474,0.0023828924644418714,910ac69aa16a43188a0ac789974c8377
xgboost,0.990526777278797,0.20574273259564466,0.14735755465392275,1106055997.4660747,0.9876209985530352,0.0013218833321742487,f6b37394711f4aada0851b59badf3883
